numero_de_cliente,probabilidad,predict
1016783779,0.9657945,1
507653834,0.94897276,1
1122340744,0.9442685,1
1038027871,0.9432978,1
1459306077,0.93939286,1
1469402972,0.9392956,1
841876239,0.9371693,1
1237423372,0.93374103,1
285480881,0.9332884,1
779012668,0.9315016,1
999567231,0.9304421,1
971108609,0.92940253,1
999158844,0.9267683,1
356662435,0.9262994,1
355859871,0.9251566,1
679020843,0.92289186,1
1493825886,0.9220862,1
690072207,0.92027456,1
1327182802,0.9195636,1
302346506,0.91817427,1
332754467,0.9166643,1
999655908,0.9157417,1
1199345235,0.91386753,1
1456839179,0.9136265,1
825039709,0.9133117,1
1231971341,0.9097113,1
719952686,0.9095816,1
957781338,0.90777534,1
340674857,0.9070974,1
1156415991,0.90642023,1
352906984,0.90565443,1
889464941,0.905313,1
346202943,0.9032741,1
334353609,0.90261006,1
560499776,0.9011908,1
1052835642,0.899914,1
1250287995,0.89989257,1
1200808878,0.8998196,1
614269197,0.89959836,1
1346661987,0.8963084,1
1332462945,0.8864865,1
314236318,0.8861522,1
1125770942,0.88546896,1
901895430,0.8843518,1
1351782779,0.88343817,1
1238491830,0.8824735,1
464422087,0.88162833,1
831739592,0.8806885,1
1229634178,0.87777156,1
1303652009,0.87675756,1
571851534,0.8691401,1
1454897491,0.8681007,1
1213881716,0.86776495,1
1249442553,0.86753434,1
776562687,0.8667998,1
779679442,0.8661383,1
1125158574,0.86560225,1
960841355,0.86527556,1
1005037853,0.86392635,1
348375152,0.8631866,1
1095899797,0.86199874,1
496272333,0.861803,1
1242851842,0.8594785,1
1027649404,0.85861063,1
1222748992,0.858201,1
355522005,0.85778165,1
1115105873,0.85760826,1
483537514,0.8565698,1
579587346,0.8544381,1
585608636,0.8542144,1
321500216,0.8540302,1
318751233,0.850799,1
306285953,0.8501515,1
1013406306,0.8491271,1
1021569327,0.8485971,1
658350101,0.848295,1
265802677,0.8473628,1
469357652,0.84727573,1
1233370816,0.8447828,1
1098486448,0.8431693,1
1083297421,0.8426108,1
990418460,0.8408802,1
916274165,0.83955,1
698013750,0.83944154,1
703907858,0.8383089,1
509057536,0.83611685,1
1582619617,0.8355987,1
823107219,0.83445054,1
985463211,0.83404654,1
659587021,0.8330495,1
1109000125,0.82987785,1
725911849,0.8298733,1
484136978,0.82952815,1
444892953,0.82729167,1
259309251,0.8261706,1
1440838176,0.8248746,1
715432741,0.8233958,1
998643975,0.8233342,1
850217049,0.82122207,1
636964898,0.82068473,1
479408826,0.8205688,1
1136719846,0.8196332,1
585683751,0.8185077,1
440298764,0.8184232,1
1332194712,0.8180823,1
597392052,0.8170721,1
1134531821,0.8162963,1
1339359438,0.813811,1
1227525709,0.8129912,1
800100116,0.8122999,1
582110692,0.8112983,1
999222431,0.8112332,1
1139770606,0.80954474,1
878976935,0.8088673,1
964454380,0.8080438,1
892102199,0.8071732,1
738415924,0.8070139,1
278188904,0.80640644,1
1062991461,0.80330276,1
614615235,0.802833,1
275046043,0.8013408,1
779846086,0.80123305,1
608525679,0.79810315,1
1071358676,0.7980811,1
770604839,0.7974219,1
473756828,0.7970547,1
272392952,0.79624563,1
1127528923,0.7958829,1
1227062693,0.79533625,1
358548333,0.7948205,1
946326608,0.79230595,1
266616403,0.7900641,1
700219427,0.7899156,1
596633902,0.78784746,1
569254088,0.7875957,1
935575407,0.7868955,1
1234207214,0.78643936,1
853893960,0.7856558,1
1319687802,0.7855424,1
655087128,0.7854729,1
1125932548,0.78387,1
973186813,0.78233165,1
1391269212,0.7822938,1
513773510,0.7822187,1
1235133605,0.78111774,1
650904759,0.78050375,1
1472402469,0.77923983,1
462250979,0.77705353,1
823297125,0.77696496,1
1246638651,0.7747386,1
460817670,0.77403355,1
249952495,0.7736213,1
1054965691,0.7725908,1
851521280,0.77070594,1
771920658,0.770485,1
966379219,0.7701509,1
1000685202,0.7694902,1
289739894,0.7685845,1
453619699,0.76695114,1
723680938,0.76671153,1
745487516,0.76465845,1
731049200,0.7639182,1
516013833,0.7631764,1
1024450309,0.7631381,1
1548033591,0.7630194,1
715237805,0.7625046,1
1326891384,0.761702,1
1052769493,0.7613928,1
1253889577,0.75991136,1
631590322,0.75990075,1
597674785,0.7598534,1
1051386142,0.7592693,1
1144780108,0.7586632,1
934123798,0.7585211,1
432245359,0.7578178,1
524867394,0.75759816,1
508442325,0.7573774,1
644362477,0.7550985,1
635099205,0.75178653,1
642845444,0.7508795,1
589454522,0.74915284,1
280104990,0.7489032,1
298332019,0.74862546,1
1180151414,0.74832916,1
1306282127,0.74756575,1
592537298,0.74632055,1
1095364151,0.74610573,1
930975240,0.74448425,1
469068420,0.7443134,1
273950532,0.7437343,1
315375723,0.74333143,1
894415665,0.74284625,1
1102091019,0.7425668,1
1187443177,0.74237305,1
894719337,0.7421871,1
697865338,0.741844,1
650007395,0.7409539,1
495599069,0.73841286,1
1333333623,0.73748475,1
308198538,0.73740894,1
885898006,0.73714423,1
1095641786,0.73696667,1
333707698,0.73682594,1
1081034126,0.7362918,1
720715874,0.73558754,1
447990093,0.7352508,1
654154538,0.73511463,1
1332032090,0.73446697,1
687052369,0.7339074,1
1315620216,0.7337498,1
491664360,0.7333794,1
663202523,0.7323623,1
891071377,0.7315271,1
1077262339,0.72848624,1
899339334,0.7273391,1
1101717337,0.7271252,1
787957100,0.7269377,1
809215633,0.72677857,1
1336894717,0.7260459,1
602615158,0.724653,1
1112472330,0.72384715,1
1028072454,0.7233078,1
747296112,0.7228833,1
1012530086,0.7214094,1
850519919,0.7211364,1
1502389566,0.7207196,1
1350587874,0.7203571,1
947228788,0.7202432,1
865381576,0.7201221,1
592546845,0.7185282,1
1163686892,0.7182527,1
551646651,0.71806663,1
1219717993,0.71766156,1
1098369838,0.71691483,1
1367858820,0.7167477,1
735237111,0.71633893,1
988549189,0.7161445,1
1342775050,0.7149203,1
285535356,0.71464545,1
250371967,0.7146066,1
1335300460,0.713855,1
1352229749,0.71248454,1
800143506,0.7121513,1
554017367,0.71202,1
1074243671,0.7119761,1
1133114549,0.71166784,1
466558635,0.71018547,1
349336325,0.7088506,1
1072088891,0.70867616,1
1199448353,0.7068324,1
317182492,0.7061332,1
1153339270,0.7058864,1
941964256,0.70541924,1
892741629,0.70500225,1
789276429,0.7049482,1
934566173,0.70328856,1
556990962,0.70320374,1
1043751987,0.7030373,1
1243960120,0.7026623,1
1207471134,0.7019411,1
452460225,0.7018192,1
1168793901,0.7016948,1
294967894,0.7016897,1
1460168078,0.6996668,1
710633266,0.6993706,1
510040451,0.6981335,1
1485681098,0.69701815,1
268237057,0.6962996,1
889981843,0.69466907,1
577144939,0.6946681,1
840658576,0.6946346,1
746018355,0.6943931,1
565274026,0.6940923,1
749788536,0.6937565,1
852048250,0.69316584,1
715968097,0.6930863,1
713051240,0.69307035,1
1068600863,0.69140387,1
701724786,0.6912522,1
951573711,0.69099694,1
620115832,0.6908698,1
598687375,0.69078666,1
796934351,0.68886036,1
1248323557,0.6875982,1
768052099,0.68678737,1
1044843484,0.68671805,1
1009196883,0.686332,1
296733526,0.68617386,1
708598238,0.68576556,1
976745944,0.6848934,1
889236316,0.68334156,1
595687674,0.6831221,1
961480196,0.682606,1
1462884465,0.6817381,1
266134787,0.68162704,1
257555651,0.68139106,1
1253836118,0.68079996,1
1246252723,0.68052834,1
1001840875,0.68046564,1
1058531312,0.67945623,1
661716489,0.67936754,1
825106148,0.679035,1
1486993569,0.6786878,1
1110212315,0.67816997,1
1439189948,0.6781452,1
880972654,0.676569,1
856072002,0.6765383,1
549628251,0.67607206,1
1153365522,0.67556185,1
994305474,0.6753821,1
470331951,0.6748995,1
1111625350,0.67470604,1
466571180,0.6745449,1
1096071761,0.6739228,1
462992579,0.67198706,1
861519361,0.6717704,1
1209176750,0.6716253,1
954626581,0.67157274,1
264258377,0.6712523,1
869308479,0.670831,1
679375635,0.6706404,1
