feature,importance_gain,importance_split
Visa_status,56179.49990463257,58
ctrx_quarter,34482.68421685696,118
msaldo_total_pesos,17604.183574676514,79
mpasivos_margen,13463.914151906967,74
msaldo_vs_movimientos_ratio,13414.688596725464,102
cactividad_total,10142.041527986526,36
mcaja_ahorro,9289.163479328156,80
TC_Total_mpagospesos,9129.391882181168,39
mprestamos_personales,7013.921165108681,114
Visa_Finiciomora,6066.876431941986,18
ctarjeta_visa_transacciones,5863.931922674179,55
msaldo_total,4909.967376232147,84
Visa_mpagominimo,4543.529354572296,69
cdescubierto_preacordado,4090.21649312973,44
cdias_mora_promedio_delta_mean_8,3870.955993771553,25
Visa_mpagospesos,3755.638666152954,58
mpayroll,3646.850759267807,46
cdias_mora_promedio,3617.287662267685,32
mcuentas_saldo,3318.1089630126953,73
cpayroll_trx,2908.523011445999,21
matm,2810.723679304123,28
mmargen_total,2513.3428473472595,49
mtarjeta_visa_consumo,2315.9712619781494,32
Visa_fultimo_cierre,2023.156231045723,38
ctrx_quarter_delta_mean_4,2005.610093832016,63
mmargen_por_cuenta_ratio,1833.2704882621765,51
mingresos_mensuales,1760.046540737152,34
ccaja_seguridad,1679.8109877109528,38
cproductos,1665.1392741203308,54
Visa_Fvencimiento,1664.879180073738,129
TC_Total_msaldototal,1623.416909456253,34
mautoservicio,1579.0627145767212,39
mactivos_margen,1574.6572833061218,82
TC_Total_mpagominimo,1520.6378424167633,50
cliente_edad,1503.6164348125458,182
ccaja_ahorro,1431.3320554494858,45
ctrx_quarter_delta_mean_8,1420.5472812652588,54
ctarjeta_visa,1416.7070698738098,23
mcuenta_corriente,1386.3750282526016,101
cprestamos_personales,1306.6590703725815,58
cuso_tarjeta_ratio,1278.381911277771,55
Visa_msaldopesos,1255.8245995044708,64
ctarjeta_debito_transacciones,1237.6182936429977,26
TC_Total_msaldopesos,1230.0471731424332,34
Visa_fechaalta,1178.7470952272415,125
numero_de_cliente,1074.476026892662,139
mingresos_por_producto_ratio,1051.0681655406952,29
cliente_antiguedad,994.719429731369,113
TC_Total_status,978.015459060669,22
cproductos_delta_mean_8,946.4427227973938,52
mdeuda_tarjetas_total,940.3635454177856,24
cproductos_delta_mean_4,933.176342010498,35
ccaja_ahorro_delta_mean_8,927.5216366052628,19
TC_Total_fechaalta,910.0049297809601,93
Visa_mfinanciacion_limite,900.1477643251419,85
mrentabilidad_annual,885.8103376626968,99
ctarjeta_visa_delta_mean_4,881.814817905426,6
TC_Total_Fvencimiento,873.7717283964157,124
Master_Fvencimiento,797.7244000434875,119
mcuenta_debitos_automaticos,789.2277700901031,58
mrentabilidad_vs_margen,781.456266283989,72
mrentabilidad,769.3746021986008,56
slope_mcuenta_corriente_6_window,736.2512296438217,83
ctarjeta_visa_debitos_automaticos_delta_mean_8,727.5811767578125,47
mpagomiscuentas,718.4822747707367,32
Master_fechaalta,704.975749373436,94
cdescubierto_preacordado_delta_mean_8,704.3447818756104,28
mcomisiones_ratio,677.6780896186829,65
mrentabilidad_media_mensual,673.2233421802521,84
ctarjeta_visa_debitos_automaticos_delta_mean_4,657.2061977386475,27
Master_mfinanciacion_limite,633.1788300275803,76
cprestamos_personales_delta_mean_4,599.3961194753647,21
tes_empleado_delta_mean_4,578.2886724472046,17
ccomisiones_mantenimiento_delta_mean_8,578.2605142593384,53
Visa_status_delta_mean_4,545.1092133522034,10
TC_Total_mfinanciacion_limite,530.3484028577805,56
mingresos_vs_saldo_ratio,523.4228806495667,20
Visa_cconsumos,501.61639058589935,44
cprestamos_personales_delta_mean_8,495.8802156448364,27
slope_mprestamos_personales_6_window,493.8196918964386,50
TC_Total_mconsumospesos,491.05017256736755,31
Visa_cconsumos_delta_mean_8,488.4794092178345,30
ccaja_ahorro_delta_mean_4,482.88560938835144,14
muso_credito_ratio,476.9022135734558,38
Visa_mconsumospesos,471.9326608181,57
mmargen_por_producto,470.0478982925415,45
msaldo_total_dolares,466.75363278388977,50
mcomisiones_mantenimiento,465.16115629673004,57
ccanales_activos,460.9265503883362,24
mflujo_netotransf,448.41526985168457,46
tes_empleado,447.5912895202637,7
slope_mrentabilidad_vs_margen_6_window,446.472221493721,56
ctarjeta_visa_transacciones_delta_mean_4,440.18443632125854,33
cproductos_delta_2,429.5493016242981,21
slope_mcomisiones_ratio_6_window,429.1825386285782,53
slope_Visa_mfinanciacion_limite_6_window,426.20898401737213,48
mcomisiones,425.7403419017792,59
slope_Master_mfinanciacion_limite_6_window,412.9146628379822,57
cproductos_uso_ratio,401.61561012268066,51
Master_mpagominimo,399.30183720588684,36
Visa_status_delta_mean_8,397.73668098449707,16
tmora_total,395.81294441223145,8
Visa_mconsumototal,395.4535633325577,30
ctarjeta_master_transacciones,393.1481337547302,24
ctrx_quarter_delta_2,393.1117967367172,51
TC_Total_delinquency,392.955069065094,8
cuso_digital_ratio,391.2864189147949,41
mcomisiones_otras,389.6516411304474,49
ccallcenter_transacciones_delta_mean_8,387.7794268131256,36
Master_Finiciomora,385.0327887535095,19
slope_msaldo_total_pesos_6_window,383.5731506347656,52
slope_Master_msaldopesos_6_window,379.96090960502625,54
ccaja_ahorro_delta_2,375.6754541397095,7
slope_msaldo_vs_movimientos_ratio_6_window,375.67014944553375,57
slope_mcuentas_saldo_6_window,369.6711596250534,52
slope_mflujo_netotransf_6_window,369.6421113014221,50
ctarjeta_visa_transacciones_delta_mean_8,366.9333996772766,36
slope_mttarjeta_visa_debitos_automaticos_6_window,361.4107897281647,48
